Id2,totalGroup1,totalGroup2,percent_bachelorPlus,meanvalence,households_meanIncome
6037185202,2012,841,33.8,5.858314172,98058
6037185203,2262,217,16.8,5.836793651,51823
6037185204,567,441,47.3,5.597520563,133756
6037185310,2068,204,6.7,5.99696627,53077
6037185320,2090,107,7.9,6.051222081,38919
6037186100,1148,1200,44.9,5.909680576,81762
6037186201,1000,441,42.2,6.038469964,49494
6037186202,502,354,39.4,6.114673084,83588
6037186203,898,1033,46.7,5.560731839,104704
6037186301,1789,396,17.2,5.793482108,55302
6037186302,1834,1057,34.1,5.766446699,88317
6037186401,2262,155,16.1,5.77352977,49505
6037186403,1782,152,14.9,5.686456784,61440
6037186404,1605,207,19.4,5.742300014,58187
6037187101,707,939,36,6.06247287,74280
6037187102,1642,609,30.3,5.820442407,62226
6037187200,1748,228,18.4,5.906945028,47801
6037187300,540,1569,58.8,5.899753641,123342
6037188100,1883,856,35.7,5.857235108,69576
6037188201,437,2055,61.8,5.950636256,79498
6037188202,220,1362,61.1,6.036547207,154735
6037188300,1017,1060,44.2,6.054336608,86728
6037189101,382,1673,55.6,6.017768483,69586
6037189102,524,1874,71.8,6.013185423,111345
6037189201,368,2266,56.6,5.947224906,52079
6037189202,185,1780,66.3,6.260395806,129859
6037189300,154,1878,70.5,6.150775222,229328
6037189400,121,2604,69.8,5.891115113,150208
6037189500,510,2893,67.9,5.933810959,65471
6037189600,645,2082,65.2,5.899244434,107986
6037189701,398,2370,64,5.953363763,141799
6037189702,83,1419,71.4,5.928190699,128018
6037189800,714,2316,60.1,6.000297585,101445
6037189902,840,3500,60.3,5.926225067,75567
6037189903,203,1373,48.8,6.058329621,73041
6037189904,137,1803,59.4,6.000404385,50397
6037189905,217,1672,51.7,5.965897725,65728
6037190100,730,3067,50.6,5.962570369,54220
6037190201,623,1650,31.3,5.847658309,36608
6037190202,551,1732,52.9,6.022512098,39492
6037190301,1238,2959,35.9,5.815913727,45412
6037190401,484,2015,49.8,5.919585954,52940
6037190402,380,1378,39.5,6.000453272,42769
6037190510,1752,1504,32,5.86980348,42948
6037190520,1334,1415,26.9,6.023317359,39798
6037190700,1325,1529,42.4,5.947980587,49316
6037190801,902,868,32.5,5.972801373,46259
6037190802,1188,904,36,5.996829537,41644
6037190901,2534,560,23.1,5.787288859,43598
6037190902,1880,1118,18.5,6.038523294,42197
6037191000,1415,1344,46.8,5.960650397,65595
6037191110,906,1857,24.3,5.806545296,36890
6037191120,1966,1255,16.6,5.899952396,36912
6037191201,1402,2032,23.9,5.870375541,44106
6037191203,852,715,23.9,6.038889347,36972
6037191204,789,681,27,6.034363938,45460
6037191301,1192,449,36.7,5.982614057,52747
6037191302,839,551,31.7,5.950240236,48005
6037191410,2576,440,21.5,5.85301727,37017
6037191420,1731,520,21.7,5.813731798,48686
6037191500,2549,983,25.4,5.766686165,50353
6037191610,2312,683,27.8,5.868805672,55457
6037191620,1697,382,16.1,5.863501218,36397
6037191710,1628,583,21.1,5.867982602,40522
6037191720,2219,492,14.6,5.808535402,44106
6037191810,1598,775,23.5,5.847002529,46673
6037191820,849,1151,40.2,5.828373187,67422
6037191901,951,1904,42.4,5.879336053,61059
6037191902,431,1773,65,6.038786323,133380
6037192001,238,1552,56.3,5.939714622,80494
6037192002,255,1808,61.1,5.858404835,116822
6037192300,340,1574,75.9,5.978890974,140872
6037192410,926,1432,59.2,5.890326716,93750
6037192420,1423,441,31.1,5.961827379,65050
6037192510,1569,187,30.5,5.795551954,60183
6037192520,2801,316,24.7,5.705376554,42675
6037192610,2686,407,13.4,5.800516108,38356
6037192620,1715,277,23.9,5.889118374,41082
6037192700,1905,382,25,5.807305507,49383
6037194101,305,2168,66.9,6.004406076,131502
6037194102,139,2728,66.4,5.727998935,185672
6037194200,199,2554,65.9,5.943670032,251294
6037194300,427,2594,60.6,5.906200235,271533
6037194401,371,1631,55.9,5.895689904,97530
6037194402,230,2386,69.8,5.950075904,116736
6037194500,64,1383,56.6,6.054663466,146498
6037195100,557,2729,67.4,6.074641765,167838
6037195201,458,1596,63.1,5.802283357,97406
6037195202,282,2148,65.4,5.819677834,134191
6037195300,1122,1628,57.1,5.862814728,80268
6037195400,705,2635,66.1,6.039490587,124370
6037195500,1653,1709,47.2,5.834145171,87367
6037195600,1532,736,40.7,5.904156764,69718
6037195710,2671,632,21.4,5.901024312,58119
6037195720,1206,431,31.8,5.825033653,53712
6037195802,1308,270,22.4,5.902671617,52930
6037195803,1092,866,41.8,6.095672561,97683
6037195804,1141,492,33.3,6.086914203,58672
6037195901,797,1048,51.8,6.034372668,59048
6037195902,464,1067,57.7,6.010618303,76536
6037195903,632,725,38.2,5.934422709,81490
6037197200,1949,284,18.1,5.93498955,62467
6037197300,1534,1329,38.4,5.890245612,69910
6037197410,1014,2019,58.8,5.934018364,101893
6037197420,1586,775,36.5,5.767584789,65130
6037197500,1728,971,41,5.948862372,76608
6037197600,784,520,36.7,5.95540886,68252
6037197700,1164,764,31.8,5.752975016,52030
6037199000,2908,197,13.4,5.91191342,51634
6037199110,1709,182,12,5.78701675,54824
6037199120,2491,96,13.6,5.964922609,45349
6037199201,2027,72,9.7,5.876907843,42534
6037199202,1868,216,19,5.762854185,50650
6037199300,1829,660,27.1,5.901450409,78250
6037199400,2519,177,13,5.798341473,53706
6037199700,1762,329,20,5.880355541,42761
6037199800,2436,45,6.7,5.917665679,39656
6037199900,1524,29,11.4,6.058588798,37418
6037201110,1626,203,14.4,5.677442973,58025
6037201120,2604,205,14.3,5.716821471,52385
6037201200,1835,58,9.1,5.492226869,53018
6037201301,2168,223,19.9,5.69892142,61424
6037201302,982,740,52.6,5.840837816,72111
6037201401,3274,249,18.7,5.750474102,59590
6037201402,2888,373,14.7,5.756318834,67247
6037201501,3664,353,10.5,5.846250718,53846
6037201503,2309,137,9.1,5.683624805,43236
6037201504,1307,120,14.3,5.597109582,52946
6037201601,1341,117,13.6,5.803296171,60845
6037201602,1814,198,13,5.70734599,70345
6037201700,3203,796,23.2,5.793011376,67443
6037203100,3345,38,4,5.739024278,35116
6037203200,3637,39,7.1,5.680704195,46895
6037203300,1123,70,14.7,6.008934993,42510
6037203500,1946,153,15.5,5.829987381,46203
6037203600,3535,49,8.3,5.77915506,41698
6037203710,2471,18,9.4,5.720773237,42720
6037203720,3099,31,3.1,5.647357387,31535
6037203800,3541,97,6.5,5.731052474,50611
6037203900,2227,58,8.1,5.812224106,55747
6037204110,2420,6,2.8,5.64197865,39287
6037204120,2206,26,7,5.5815125,46161
6037204200,2284,93,5.4,5.873161023,41526
6037204300,3689,108,7.8,5.834981414,35812
6037204410,1542,4,5.4,5.807329082,37009
6037204420,1808,86,4.5,5.984094934,30968
6037204600,3332,74,8.7,5.800666083,46380
6037204700,3596,187,9.1,5.600256594,50027
6037204810,3565,62,7,5.68852409,43291
