price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,type,paint_color,F1,F2,F3,F4
8711.0,2015.0,ford,good,4 cylinders,gas,,automatic,sedan,blue,185,2.3436865542764016,-0.011051620353999007,b
17744.0,2015.0,subaru,excellent,4 cylinders,gas,44292.0,automatic,SUV,silver,3218,2.2989558806100203,0.11259445400877152,a
8904.0,2014.0,ford,excellent,4 cylinders,gas,90716.0,automatic,sedan,red,6270,2.357488182267862,0.013670133045628377,b
11579.0,2015.0,ford,excellent,4 cylinders,gas,77000.0,automatic,SUV,white,3554,2.2974126899096614,-0.14773881929570318,a
500.0,2019.0,ford,excellent,4 cylinders,gas,32396.0,automatic,SUV,red,3482,2.3680263447809446,0.3564643711915456,a
7748.0,2008.0,ford,excellent,8 cylinders,gas,122000.0,automatic,truck,silver,129,2.19620699237001,0.06885127415973147,b
11352.0,2009.0,ford,excellent,8 cylinders,gas,130870.0,automatic,SUV,black,1088,2.209594103643548,0.11069799614545528,b
13401.0,2011.0,ford,good,6 cylinders,gas,107000.0,automatic,SUV,white,164,2.271430603802977,0.05054399881727152,c
6390.0,2011.0,ford,good,6 cylinders,gas,140911.0,automatic,sedan,blue,798,2.3460108606689376,0.06514309446411147,c
35252.0,2017.0,ford,good,8 cylinders,gas,36346.0,automatic,pickup,red,4933,2.649958483465608,0.1744502342057774,a
4972.0,2009.0,subaru,excellent,4 cylinders,gas,129148.0,manual,SUV,blue,3846,2.111661831401193,0.04130401826875985,a
3161.0,2007.0,ford,fair,8 cylinders,gas,275000.0,automatic,truck,white,499,2.0231011021262453,0.08983153233498045,c
12240.0,2014.0,subaru,excellent,4 cylinders,gas,141980.0,automatic,SUV,white,1249,2.550155377514764,-0.04624944919711349,b
0.0,2019.0,ford,excellent,6 cylinders,gas,30243.0,automatic,SUV,white,3481,2.435906964123652,0.11593082760074327,c
11587.0,2014.0,ford,good,4 cylinders,gas,,automatic,SUV,red,300,2.4127323953429785,0.15924583503418166,c
4410.0,2004.0,ford,good,8 cylinders,gas,201422.0,automatic,SUV,silver,198,1.9737924871951744,0.09390369423402696,b
7767.0,2010.0,ford,excellent,6 cylinders,gas,190000.0,automatic,SUV,black,359,2.111046728558237,0.11034147693557199,c
60089.0,2019.0,ford,like new,6 cylinders,gas,25700.0,automatic,truck,black,389,2.3312265955279536,0.18988576842209015,c
10998.0,2009.0,ford,good,8 cylinders,gas,225974.0,automatic,truck,white,258,2.0481765716228257,0.15886856766632662,b
21513.0,2013.0,ford,good,8 cylinders,gas,80650.0,automatic,truck,white,1295,2.357736981571517,-0.09549834058936953,b
28864.0,2017.0,ford,excellent,6 cylinders,gas,33097.0,automatic,pickup,blue,987,2.3209406177423544,0.15919253546334514,c
